Category;Open;High;Low;Close;o-1;h-1;l-1;c-1;o-2;h-2;l-2;c-2
LOW_FALL;10 142;10 437;9 953;10 030;10 243;10 354;9 893;10 142;10 112;10 308;9 970;10 242
NEUTRAL;10 243;10 354;9 893;10 142;10 112;10 308;9 970;10 242;10 610;10 639;9 905;10 112
LOW_RAISE;10 112;10 308;9 970;10 242;10 610;10 639;9 905;10 112;10 793;10 812;10 042;10 610
LOW_FALL;10 610;10 639;9 905;10 112;10 793;10 812;10 042;10 610;11 372;11 461;10 558;10 794
LOW_FALL;10 793;10 812;10 042;10 610;11 372;11 461;10 558;10 794;12 023;12 051;11 223;11 372
LOW_FALL;11 372;11 461;10 558;10 794;12 023;12 051;11 223;11 372;11 685;12 062;11 561;12 023
LOW_FALL;12 023;12 051;11 223;11 372;11 685;12 062;11 561;12 023;11 643;11 785;11 580;11 683
LOW_RAISE;11 685;12 062;11 561;12 023;11 643;11 785;11 580;11 683;11 528;11 694;11 477;11 643
NEUTRAL;11 643;11 785;11 580;11 683;11 528;11 694;11 477;11 643;11 500;11 591;11 448;11 528
NEUTRAL;11 528;11 694;11 477;11 643;11 500;11 591;11 448;11 528;11 271;11 553;11 258;11 500
NEUTRAL;11 500;11 591;11 448;11 528;11 271;11 553;11 258;11 500;11 499;11 573;11 152;11 272
LOW_RAISE;11 271;11 553;11 258;11 500;11 499;11 573;11 152;11 272;11 275;11 542;11 270;11 499
LOW_FALL;11 499;11 573;11 152;11 272;11 275;11 542;11 270;11 499;11 743;11 792;11 150;11 272
LOW_RAISE;11 275;11 542;11 270;11 499;11 743;11 792;11 150;11 272;11 674;11 832;11 609;11 743
LOW_FALL;11 743;11 792;11 150;11 272;11 674;11 832;11 609;11 743;11 616;11 724;11 537;11 680
NEUTRAL;11 674;11 832;11 609;11 743;11 616;11 724;11 537;11 680;11 625;11 658;11 395;11 616
NEUTRAL;11 616;11 724;11 537;11 680;11 625;11 658;11 395;11 616;11 871;11 899;11 624;11 634
NEUTRAL;11 625;11 658;11 395;11 616;11 871;11 899;11 624;11 634;11 733;11 896;11 697;11 871
LOW_FALL;11 871;11 899;11 624;11 634;11 733;11 896;11 697;11 871;12 035;12 103;11 630;11 728
LOW_RAISE;11 733;11 896;11 697;11 871;12 035;12 103;11 630;11 728;12 331;12 413;11 875;12 035
LOW_FALL;12 035;12 103;11 630;11 728;12 331;12 413;11 875;12 035;11 857;12 466;11 779;12 329
LOW_FALL;12 331;12 413;11 875;12 035;11 857;12 466;11 779;12 329;11 876;11 981;11 716;11 857
LOW_RAISE;11 857;12 466;11 779;12 329;11 876;11 981;11 716;11 857;11 777;11 987;11 731;11 876
NEUTRAL;11 876;11 981;11 716;11 857;11 777;11 987;11 731;11 876;11 621;11 864;11 621;11 777
NEUTRAL;11 777;11 987;11 731;11 876;11 621;11 864;11 621;11 777;11 575;11 655;11 291;11 640
LOW_RAISE;11 621;11 864;11 621;11 777;11 575;11 655;11 291;11 640;11 239;11 624;11 151;11 573
NEUTRAL;11 575;11 655;11 291;11 640;11 239;11 624;11 151;11 573;11 871;11 940;11 159;11 239
LOW_RAISE;11 239;11 624;11 151;11 573;11 871;11 940;11 159;11 239;11 681;12 070;11 557;11 866
LOW_FALL;11 871;11 940;11 159;11 239;11 681;12 070;11 557;11 866;11 715;11 803;11 542;11 681
LOW_RAISE;11 681;12 070;11 557;11 866;11 715;11 803;11 542;11 681;11 581;11 812;11 549;11 715
NEUTRAL;11 715;11 803;11 542;11 681;11 581;11 812;11 549;11 715;11 854;11 920;11 370;11 581
LOW_RAISE;11 581;11 812;11 549;11 715;11 854;11 920;11 370;11 581;11 692;11 917;11 590;11 854
LOW_FALL;11 854;11 920;11 370;11 581;11 692;11 917;11 590;11 854;11 216;11 724;11 117;11 692
LOW_RAISE;11 692;11 917;11 590;11 854;11 216;11 724;11 117;11 692;11 387;11 421;11 068;11 213
LOW_RAISE;11 216;11 724;11 117;11 692;11 387;11 421;11 068;11 213;11 097;11 479;10 986;11 387
LOW_FALL;11 387;11 421;11 068;11 213;11 097;11 479;10 986;11 387;11 835;12 097;10 711;11 102
LOW_RAISE;11 097;11 479;10 986;11 387;11 835;12 097;10 711;11 102;11 359;11 874;11 245;11 835
LOW_FALL;11 835;12 097;10 711;11 102;11 359;11 874;11 245;11 835;11 152;11 462;10 981;11 359
LOW_RAISE;11 359;11 874;11 245;11 835;11 152;11 462;10 981;11 359;11 219;11 335;10 871;11 155
LOW_RAISE;11 152;11 462;10 981;11 359;11 219;11 335;10 871;11 155;10 982;11 290;10 855;11 230
NEUTRAL;11 219;11 335;10 871;11 155;10 982;11 290;10 855;11 230;10 889;11 387;10 595;10 982
LOW_RAISE;10 982;11 290;10 855;11 230;10 889;11 387;10 595;10 982;9 893;10 906;9 882;10 862
LOW_RAISE;10 889;11 387;10 595;10 982;9 893;10 906;9 882;10 862;9 729;10 128;9 670;9 893
